########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2016/10/14.05:00:00    681.0  164153000.0  -83289000.0   18807000.0  139238000.0   53598000.0      -2000.0  181578000.0  -34243000.0   18868000.0   18503.26   14040.23    5204.98   25.27   20.32   -79.40   -15.36 169873.3
2016/10/15.05:00:00    682.0  164895000.0  -81234000.0   18809000.0  138250000.0   55981000.0      -2000.0  181569000.0  -31983000.0   18794000.0   18477.95   14103.96    5199.75   25.30   20.43   -78.70   -15.34 170091.7
2016/10/16.05:00:00    683.0  165612000.0  -79167000.0   18809000.0  137222000.0   58347000.0      -2000.0  181532000.0  -29718000.0   18716000.0   18452.28   14166.99    5194.88   25.34   20.54   -78.01   -15.32 170310.5
2016/10/17.05:00:00    684.0  166302000.0  -77087000.0   18806000.0  136153000.0   60697000.0      -2000.0  181467000.0  -27449000.0   18636000.0   18426.27   14229.33    5190.37   25.38   20.66   -77.31   -15.30 170529.7
2016/10/18.05:00:00    685.0  166966000.0  -74995000.0   18800000.0  135044000.0   63028000.0      -2000.0  181372000.0  -25175000.0   18553000.0   18399.92   14290.98    5186.22   25.42   20.77   -76.61   -15.28 170749.1
2016/10/19.05:00:00    686.0  167604000.0  -72891000.0   18791000.0  133894000.0   65340000.0      -2000.0  181249000.0  -22897000.0   18467000.0   18373.22   14351.94    5182.42   25.47   20.88   -75.91   -15.25 170969.0
2016/10/20.05:00:00    687.0  168215000.0  -70776000.0   18779000.0  132705000.0   67633000.0      -2000.0  181098000.0  -20616000.0   18378000.0   18346.18   14412.19    5178.98   25.51   21.00   -75.21   -15.22 171189.2
2016/10/21.05:00:00    688.0  168798000.0  -68649000.0   18764000.0  131475000.0   69907000.0      -2000.0  180916000.0  -18331000.0   18286000.0   18318.81   14471.75    5175.89   25.55   21.11   -74.50   -15.18 171409.7
2016/10/22.05:00:00    689.0  169355000.0  -66511000.0   18745000.0  130206000.0   72159000.0      -3000.0  180706000.0  -16043000.0   18191000.0   18291.10   14530.59    5173.16   25.59   21.23   -73.79   -15.14 171630.7
2016/10/23.05:00:00    690.0  169884000.0  -64362000.0   18724000.0  128898000.0   74390000.0      -3000.0  180466000.0  -13753000.0   18093000.0   18263.07   14588.72    5170.77   25.64   21.35   -73.08   -15.10 171852.0
2016/10/24.05:00:00    691.0  170386000.0  -62203000.0   18700000.0  127551000.0   76599000.0      -3000.0  180196000.0  -11460000.0   17992000.0   18234.70   14646.13    5168.74   25.68   21.46   -72.37   -15.06 172073.7
2016/10/25.05:00:00    692.0  170859000.0  -60034000.0   18673000.0  126166000.0   78785000.0      -3000.0  179896000.0   -9166000.0   17888000.0   18206.01   14702.81    5167.05   25.72   21.58   -71.66   -15.01 172295.7
2016/10/26.05:00:00    693.0  171305000.0  -57854000.0   18643000.0  124742000.0   80948000.0      -3000.0  179567000.0   -6870000.0   17781000.0   18177.00   14758.75    5165.71   25.77   21.70   -70.94   -14.96 172518.2
2016/10/27.05:00:00    694.0  171722000.0  -55666000.0   18609000.0  123281000.0   83086000.0      -3000.0  179207000.0   -4572000.0   17671000.0   18147.68   14813.94    5164.71   25.82   21.82   -70.22   -14.91 172741.0
2016/10/28.05:00:00    695.0  172111000.0  -53468000.0   18573000.0  121782000.0   85199000.0      -3000.0  178817000.0   -2274000.0   17558000.0   18118.03   14868.36    5164.05   25.86   21.94   -69.50   -14.85 172964.3
2016/10/29.05:00:00    696.0  172472000.0  -51261000.0   18533000.0  120246000.0   87286000.0      -4000.0  178396000.0      23000.0   17442000.0   18088.08   14922.02    5163.73   25.91   22.05   -68.78   -14.79 173187.9
2016/10/30.05:00:00    697.0  172803000.0  -49045000.0   18490000.0  118674000.0   89347000.0      -4000.0  177944000.0    2321000.0   17323000.0   18057.82   14974.90    5163.75   25.96   22.17   -68.05   -14.73 173412.0
2016/10/31.05:00:00    698.0  173105000.0  -46822000.0   18445000.0  117065000.0   91381000.0      -4000.0  177462000.0    4619000.0   17201000.0   18027.25   15026.99    5164.10   26.00   22.29   -67.33   -14.67 173636.4
2016/11/01.05:00:00    699.0  173379000.0  -44590000.0   18396000.0  115421000.0   93387000.0      -4000.0  176949000.0    6917000.0   17076000.0   17996.39   15078.29    5164.79   26.05   22.41   -66.60   -14.60 173861.3
2016/11/02.05:00:00    700.0  173622000.0  -42351000.0   18344000.0  113742000.0   95364000.0      -4000.0  176404000.0    9212000.0   16948000.0   17965.23   15128.77    5165.80   26.10   22.53   -65.87   -14.53 174086.6
2016/11/03.05:00:00    701.0  173836000.0  -40104000.0   18288000.0  112028000.0   97313000.0      -4000.0  175828000.0   11507000.0   16817000.0   17933.77   15178.45    5167.14   26.15   22.64   -65.13   -14.45 174312.4
2016/11/04.05:00:00    702.0  174020000.0  -37851000.0   18230000.0  110281000.0   99231000.0      -4000.0  175221000.0   13799000.0   16683000.0   17902.03   15227.30    5168.80   26.20   22.76   -64.40   -14.37 174538.5
2016/11/05.05:00:00    703.0  174174000.0  -35591000.0   18169000.0  108500000.0  101120000.0      -4000.0  174583000.0   16089000.0   16546000.0   17869.99   15275.32    5170.78   26.25   22.88   -63.66   -14.29 174765.1
2016/11/06.05:00:00    704.0  174298000.0  -33325000.0   18104000.0  106686000.0  102977000.0      -4000.0  173912000.0   18376000.0   16406000.0   17837.68   15322.51    5173.09   26.30   22.99   -62.92   -14.21 174992.2
2016/11/07.05:00:00    705.0  174391000.0  -31053000.0   18036000.0  104839000.0  104803000.0      -4000.0  173210000.0   20659000.0   16264000.0   17805.09   15368.85    5175.70   26.35   23.11   -62.18   -14.12 175219.6
2016/11/08.05:00:00    706.0  174454000.0  -28776000.0   17965000.0  102961000.0  106597000.0      -4000.0  172476000.0   22939000.0   16118000.0   17772.23   15414.35    5178.63   26.41   23.22   -61.44   -14.03 175447.6
2016/11/09.05:00:00    707.0  174485000.0  -26492000.0   17891000.0  101052000.0  108359000.0      -4000.0  171710000.0   25214000.0   15969000.0   17739.03   15458.90    5181.79   26.46   23.34   -60.70   -13.93 175676.0
2016/11/10.05:00:00    708.0  174486000.0  -24205000.0   17814000.0   99112000.0  110087000.0      -4000.0  170912000.0   27485000.0   15817000.0   17705.63   15502.70    5185.33   26.51   23.45   -59.95   -13.83 175904.9
2016/11/11.05:00:00    709.0  174456000.0  -21914000.0   17733000.0   97143000.0  111781000.0      -4000.0  170081000.0   29751000.0   15662000.0   17671.98   15545.64    5189.17   26.57   23.56   -59.20   -13.73 176134.2
2016/11/12.05:00:00    710.0  174395000.0  -19619000.0   17650000.0   95144000.0  113442000.0      -4000.0  169219000.0   32010000.0   15504000.0   17638.07   15587.73    5193.31   26.62   23.68   -58.46   -13.63 176363.9
2016/11/13.05:00:00    711.0  174302000.0  -17320000.0   17563000.0   93116000.0  115068000.0      -4000.0  168323000.0   34264000.0   15343000.0   17603.90   15628.96    5197.74   26.68   23.79   -57.71   -13.52 176594.2
2016/11/14.05:00:00    712.0  174177000.0  -15018000.0   17473000.0   91060000.0  116659000.0      -4000.0  167396000.0   36511000.0   15179000.0   17569.50   15669.35    5202.47   26.73   23.90   -56.95   -13.41 176824.9
2016/11/15.05:00:00    713.0  174021000.0  -12713000.0   17380000.0   88976000.0  118214000.0      -4000.0  166435000.0   38751000.0   15013000.0   17534.85   15708.89    5207.48   26.79   24.01   -56.20   -13.30 177056.1
2016/11/16.05:00:00    714.0  173832000.0  -10406000.0   17283000.0   86866000.0  119734000.0      -4000.0  165442000.0   40984000.0   14843000.0   17499.96   15747.58    5212.78   26.84   24.13   -55.45   -13.18 177287.8
2016/11/17.05:00:00    715.0  173612000.0   -8097000.0   17183000.0   84728000.0  121217000.0      -4000.0  164417000.0   43208000.0   14670000.0   17464.85   15785.43    5218.35   26.90   24.24   -54.69   -13.06 177520.0
2016/11/18.05:00:00    716.0  173359000.0   -5786000.0   17081000.0   82565000.0  122663000.0      -4000.0  163358000.0   45424000.0   14495000.0   17429.51   15822.44    5224.20   26.96   24.35   -53.93   -12.94 177752.6
2016/11/19.05:00:00    717.0  173074000.0   -3474000.0   16975000.0   80377000.0  124072000.0      -4000.0  162267000.0   47630000.0   14316000.0   17393.94   15858.60    5230.32   27.02   24.47   -53.17   -12.81 177985.8
2016/11/20.05:00:00    718.0  172756000.0   -1162000.0   16865000.0   78163000.0  125444000.0      -4000.0  161143000.0   49827000.0   14135000.0   17358.16   15893.92    5236.71   27.07   24.58   -52.41   -12.68 178219.4
2016/11/21.05:00:00    719.0  172405000.0    1149000.0   16753000.0   75926000.0  126777000.0      -5000.0  159986000.0   52014000.0   13950000.0   17322.18   15928.39    5243.36   27.13   24.70   -51.65   -12.54 178453.6
2016/11/22.05:00:00    720.0  172022000.0    3462000.0   16637000.0   73665000.0  128071000.0      -5000.0  158795000.0   54190000.0   13763000.0   17285.98   15961.99    5250.26   27.19   24.82   -50.88   -12.41 178688.3
2016/11/23.05:00:00    721.0  171605000.0    5774000.0   16519000.0   71381000.0  129326000.0      -5000.0  157572000.0   56354000.0   13573000.0   17249.59   15994.73    5257.40   27.25   24.93   -50.11   -12.27 178923.5
2016/11/24.05:00:00    722.0  171156000.0    8085000.0   16397000.0   69075000.0  130541000.0      -5000.0  156316000.0   58507000.0   13380000.0   17213.00   16026.58    5264.76   27.32   25.05   -49.35   -12.12 179159.2
2016/11/25.05:00:00    723.0  170673000.0   10394000.0   16272000.0   66747000.0  131716000.0      -5000.0  155027000.0   60648000.0   13185000.0   17176.22   16057.52    5272.34   27.38   25.17   -48.58   -11.98 179395.5
2016/11/26.05:00:00    724.0  170157000.0   12702000.0   16143000.0   64399000.0  132850000.0      -5000.0  153705000.0   62776000.0   12986000.0   17139.25   16087.57    5280.11   27.45   25.28   -47.81   -11.83 179632.4
2016/11/27.05:00:00    725.0  169607000.0   15008000.0   16012000.0   62031000.0  133944000.0      -5000.0  152350000.0   64890000.0   12785000.0   17102.11   16116.70    5288.09   27.51   25.40   -47.03   -11.67 179869.8
2016/11/28.05:00:00    726.0  169023000.0   17311000.0   15878000.0   59643000.0  134996000.0      -5000.0  150963000.0   66990000.0   12581000.0   17064.81   16144.92    5296.26   27.58   25.52   -46.26   -11.52 180107.8
2016/11/29.05:00:00    727.0  168406000.0   19611000.0   15740000.0   57237000.0  136006000.0      -5000.0  149542000.0   69076000.0   12374000.0   17027.34   16172.23    5304.64   27.64   25.63   -45.48   -11.36 180346.3
2016/11/30.05:00:00    728.0  167755000.0   21907000.0   15599000.0   54813000.0  136974000.0      -5000.0  148088000.0   71146000.0   12165000.0   16989.72   16198.63    5313.22   27.70   25.75   -44.70   -11.20 180585.4
2016/12/01.05:00:00    729.0  167069000.0   24199000.0   15455000.0   52372000.0  137899000.0      -5000.0  146602000.0   73201000.0   11952000.0   16951.95   16224.11    5321.98   27.77   25.86   -43.92   -11.03 180825.0
2016/12/02.05:00:00    730.0  166350000.0   26487000.0   15308000.0   49915000.0  138782000.0      -5000.0  145082000.0   75239000.0   11738000.0   16914.04   16248.65    5330.91   27.84   25.97   -43.14   -10.86 181065.3
2016/12/03.05:00:00    731.0  165597000.0   28769000.0   15158000.0   47443000.0  139622000.0      -5000.0  143530000.0   77260000.0   11520000.0   16876.00   16272.25    5340.01   27.91   26.09   -42.36   -10.69 181306.1
2016/12/04.05:00:00    732.0  164809000.0   31046000.0   15005000.0   44956000.0  140418000.0      -5000.0  141946000.0   79264000.0   11300000.0   16837.84   16294.92    5349.27   27.97   26.20   -41.58   -10.51 181547.5
2016/12/05.05:00:00    733.0  163987000.0   33316000.0   14849000.0   42456000.0  141171000.0      -5000.0  140329000.0   81250000.0   11077000.0   16799.56   16316.64    5358.70   28.04   26.31   -40.79   -10.34 181789.5
2016/12/06.05:00:00    734.0  163131000.0   35580000.0   14689000.0   39942000.0  141880000.0      -5000.0  138680000.0   83217000.0   10852000.0   16761.18   16337.45    5368.30   28.10   26.42   -40.00   -10.15 182032.0
2016/12/07.05:00:00    735.0  162240000.0   37836000.0   14527000.0   37416000.0  142545000.0      -5000.0  136998000.0   85164000.0   10624000.0   16722.69   16357.33    5378.06   28.17   26.53   -39.21    -9.97 182275.1
2016/12/08.05:00:00    736.0  161315000.0   40085000.0   14362000.0   34879000.0  143166000.0      -5000.0  135284000.0   87092000.0   10394000.0   16684.11   16376.28    5387.96   28.24   26.64   -38.42    -9.78 182518.8
2016/12/09.05:00:00    737.0  160356000.0   42326000.0   14194000.0   32331000.0  143742000.0      -5000.0  133539000.0   88999000.0   10161000.0   16645.45   16394.28    5398.00   28.31   26.75   -37.63    -9.59 182763.1
2016/12/10.05:00:00    738.0  159362000.0   44557000.0   14022000.0   29774000.0  144274000.0      -5000.0  131761000.0   90885000.0    9926000.0   16606.72   16411.35    5408.17   28.38   26.85   -36.84    -9.40 183008.0
2016/12/11.05:00:00    739.0  158333000.0   46779000.0   13848000.0   27208000.0  144762000.0      -5000.0  129952000.0   92749000.0    9688000.0   16567.92   16427.50    5418.45   28.45   26.96   -36.04    -9.20 183253.6
2016/12/12.05:00:00    740.0  157269000.0   48992000.0   13670000.0   24633000.0  145204000.0      -5000.0  128111000.0   94590000.0    9449000.0   16529.06   16442.73    5428.86   28.52   27.06   -35.24    -9.00 183499.7
2016/12/13.05:00:00    741.0  156172000.0   51193000.0   13490000.0   22051000.0  145602000.0      -5000.0  126239000.0   96409000.0    9206000.0   16490.16   16457.07    5439.41   28.58   27.17   -34.44    -8.80 183746.3
2016/12/14.05:00:00    742.0  155039000.0   53383000.0   13304000.0   19462000.0  145955000.0      -5000.0  124336000.0   98203000.0    8962000.0   16451.19   16470.52    5450.09   28.65   27.27   -33.64    -8.59 183993.6
2016/12/15.05:00:00    743.0  153872000.0   55562000.0   13118000.0   16867000.0  146263000.0      -5000.0  122403000.0   99974000.0    8715000.0   16412.22   16483.10    5460.88   28.72   27.37   -32.84    -8.39 184241.4
2016/12/16.05:00:00    744.0  152671000.0   57728000.0   12929000.0   14267000.0  146526000.0      -5000.0  120438000.0  101719000.0    8466000.0   16373.23   16494.79    5471.77   28.79   27.48   -32.04    -8.17 184489.9
2016/12/17.05:00:00    745.0  151434000.0   59882000.0   12736000.0   11663000.0  146744000.0      -5000.0  118443000.0  103439000.0    8215000.0   16334.22   16505.58    5482.73   28.86   27.58   -31.23    -7.96 184739.0
2016/12/18.05:00:00    746.0  150163000.0   62023000.0   12541000.0    9054000.0  146916000.0      -5000.0  116419000.0  105132000.0    7962000.0   16295.21   16515.50    5493.76   28.93   27.69   -30.43    -7.74 184988.6
2016/12/19.05:00:00    747.0  148858000.0   64149000.0   12343000.0    6443000.0  147042000.0      -5000.0  114364000.0  106799000.0    7707000.0   16256.20   16524.53    5504.86   29.01   27.79   -29.62    -7.53 185239.0
2016/12/20.05:00:00    748.0  147518000.0   66261000.0   12143000.0    3829000.0  147124000.0      -5000.0  112280000.0  108438000.0    7450000.0   16217.22   16532.69    5516.02   29.08   27.89   -28.81    -7.30 185489.9
2016/12/21.05:00:00    749.0  146144000.0   68358000.0   11939000.0    1214000.0  147159000.0      -5000.0  110167000.0  110049000.0    7191000.0   16178.27   16539.96    5527.23   29.15   28.00   -28.00    -7.08 185741.4
2016/12/22.05:00:00    750.0  144735000.0   70439000.0   11733000.0   -1401000.0  147149000.0      -5000.0  108025000.0  111631000.0    6930000.0   16139.34   16546.37    5538.49   29.22   28.10   -27.18    -6.85 185993.6
2016/12/23.05:00:00    751.0  143292000.0   72504000.0   11524000.0   -4016000.0  147093000.0      -5000.0  105855000.0  113184000.0    6667000.0   16100.47   16551.91    5549.80   29.29   28.20   -26.37    -6.62 186246.3
2016/12/24.05:00:00    752.0  141815000.0   74552000.0   11312000.0   -6631000.0  146991000.0      -5000.0  103656000.0  114707000.0    6403000.0   16061.65   16556.57    5561.13   29.36   28.31   -25.55    -6.39 186499.7
2016/12/25.05:00:00    753.0  140304000.0   76582000.0   11097000.0   -9243000.0  146843000.0      -5000.0  101430000.0  116199000.0    6137000.0   16022.90   16560.36    5572.49   29.44   28.41   -24.73    -6.16 186753.7
2016/12/26.05:00:00    754.0  138758000.0   78594000.0   10880000.0  -11853000.0  146649000.0      -5000.0   99177000.0  117660000.0    5869000.0   15984.23   16563.28    5583.86   29.51   28.51   -23.91    -5.92 187008.4
2016/12/27.05:00:00    755.0  137179000.0   80587000.0   10660000.0  -14460000.0  146410000.0      -5000.0   96896000.0  119089000.0    5599000.0   15945.65   16565.33    5595.24   29.58   28.61   -23.09    -5.68 187263.6
2016/12/28.05:00:00    756.0  135566000.0   82561000.0   10438000.0  -17061000.0  146125000.0      -5000.0   94589000.0  120485000.0    5328000.0   15907.17   16566.53    5606.63   29.65   28.71   -22.26    -5.44 187519.5
2016/12/29.05:00:00    757.0  133920000.0   84515000.0   10213000.0  -19658000.0  145794000.0      -5000.0   92257000.0  121848000.0    5056000.0   15868.82   16566.89    5618.05   29.72   28.80   -21.43    -5.19 187775.9
2016/12/30.05:00:00    758.0  132241000.0   86447000.0    9985000.0  -22248000.0  145418000.0      -5000.0   89898000.0  123178000.0    4782000.0   15830.59   16566.41    5629.49   29.78   28.90   -20.60    -4.95 188033.0
2016/12/31.05:00:00    759.0  130529000.0   88358000.0    9755000.0  -24832000.0  144996000.0      -5000.0   87515000.0  124473000.0    4507000.0   15792.49   16565.10    5640.94   29.85   28.99   -19.77    -4.70 188290.6
2017/01/01.04:59:59    760.0  128784000.0   90247000.0    9523000.0  -27407000.0  144529000.0      -5000.0   85106000.0  125733000.0    4230000.0   15754.55   16562.96    5652.39   29.92   29.08   -18.94    -4.45 188548.8
2017/01/02.04:59:59    761.0  127006000.0   92113000.0    9288000.0  -29974000.0  144016000.0      -5000.0   82674000.0  126957000.0    3953000.0   15716.77   16559.99    5663.82   29.99   29.17   -18.10    -4.20 188807.6
2017/01/03.04:59:59    762.0  125195000.0   93955000.0    9051000.0  -32531000.0  143459000.0      -5000.0   80219000.0  128146000.0    3674000.0   15679.15   16556.19    5675.24   30.05   29.26   -17.27    -3.94 189066.9
2017/01/04.04:59:59    763.0  123353000.0   95773000.0    8811000.0  -35078000.0  142857000.0      -5000.0   77740000.0  129297000.0    3394000.0   15641.72   16551.57    5686.64   30.12   29.35   -16.43    -3.69 189326.9
2017/01/05.04:59:59    764.0  121478000.0   97567000.0    8573000.0  -37614000.0  142210000.0      -4000.0   75239000.0  130412000.0    3113000.0   15604.46   16546.07    5697.94   30.19   29.44   -15.58    -3.43 189587.5
2017/01/06.04:59:59    765.0  119572000.0   99335000.0    8329000.0  -40138000.0  141519000.0      -4000.0   72716000.0  131488000.0    2832000.0   15567.42   16539.81    5709.24   30.26   29.52   -14.74    -3.17 189848.6
